text,hotel-general,bathroom-general,hotel-atmosphere,bathroom-atmosphere,hotel-cleanliness,bathroom-cleanliness,hotel-facilities,bathroom-facilities,hotel-location,bed-general,hotel-price,bed-cleanliness,room-general,catering-general,room-atmosphere,catering-price,room-cleanliness,parking,room-facilities,staff
"[DISLIKED] Echt kleine kamer en de badkamer was niet erg toegankelijk. Zeer luid. We hebben 's ochtends vroeg geprofiteerd van het lawaai van de omliggende kamers, wat niet erg prettig was",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[LIKED] La vicinanza dell'hotel a tutto,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"[DISLIKED] Internet was slecht, ik vroeg om extra kussens en ze roken naar wandelen, de plaats is zo klein dat je alles om je heen hoort, dus om 3 uur hoor je de huisgenoot aankomen en om 6 uur staan ​​ze het ontbijt klaar. De wifi was erg onstabiel.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"[DISLIKED] Het internet was slecht, ik vroeg om extra kussens en ze roken naar wandelen, de accommodatie is zo klein dat je alles hoort wat er om je heen gebeurt, dan hoor je de huisgenoot om 3 uur aankomen en om 6 uur het ontbijt klaarmaken. De WiFi voelde erg onstabiel.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"[DISLIKED] Kamer alleen aanbevolen voor reizigers zonder claustrofobie en zonder bagage 9 m2 inclusief de kamer met badkamer, helaas heb ik deze gemist De minimalistisch is nog steeds een positieve omschrijving 114 voor 2 nachten zonder ontbijt is op geen enkele manier gerechtvaardigd voor deze accommodatie",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"[DISLIKED] de kamers zijn heel erg klein, compact of gezellig, het zijn geen woorden die ik zou gebruiken om de kamers te beschrijven, ze zijn een beetje aan de krappe kant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
[DISLIKED] l escalier est assez étroit un ascenseur aurait été le bienvenu,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
[DISLIKED] La higiene del baño dejaba un poco que desear El lavabo tenía suciedad Los amenities inexistentes Ni secador de pelo ni jabón suficiente para tres personas vamos nada Eso sí contaba al menos con un calentador de agua para te y café,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
[DISLIKED] It was dirty and smelly,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"[DISLIKED] L'aria condizionata non ha smesso di suonare come un motore per tutta la notte e non l'abbiamo trovata una situazione confortevole. Ci siamo svegliati con molto mal di testa e mancanza di sonno. Come ho già detto in un messaggio all'hotel, questa non rientra nelle aspettative di un hotel 4 stelle nel centro della Gran Vía, tanto meno il prezzo da pagare per un riposo di qualità.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
[DISLIKED] Il membro dello staff con cui ho parlato del mio orologio scomparso non sembrava preoccuparsene e non ha ancora ricevuto una chiamata per il mio orologio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
[DISLIKED] No tiene bidet En la ducha no hay donde colocar el gel y el champú No hay ningún cajón ni en el armario ni en mesitas,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
[DISLIKED] Las habitaciones muy antiguas _x000D_Para ser 4 estrellas le falta reformarlo,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
[DISLIKED] Lo unico que no me gustó fue el ruido de las instalaciones por la noche se escuchaban bastante las tuberías de otras habitaciones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"[DISLIKED] L'unico inconveniente è che i corridoi sono molto bui, manca l'illuminazione. Giusto per dire qualcosa",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
